Name,Price,Image URL,Product URL
Trendyolmilla Dress - Yellow - Mini,"₦ 6,589",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/9502721/1.jpg?4906,http://jumia.com.ng//trendyolmilla-dress-yellow-mini-127205915.html
Trendyolmilla Dress - Black - Midi,"₦ 7,907",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/6991721/1.jpg?4315,http://jumia.com.ng//trendyolmilla-dress-black-midi-127199605.html
Trendyol Collection T-Shirt - Gray - Relaxed,"₦ 5,710",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/6402721/1.jpg?4804,http://jumia.com.ng//trendyol-collection-t-shirt-gray-relaxed-127204665.html
Trendyolmilla Black Sleeveless Crew Neck Knitted Dress,"₦ 3,367",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/5602721/1.jpg?4916,http://jumia.com.ng//trendyolmilla-black-sleeveless-crew-neck-knitted-dress-127206501.html
Trendyolmilla Dress - Black - Midi,"₦ 8,640",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/2702721/1.jpg?4920,http://jumia.com.ng//trendyolmilla-dress-black-midi-127207209.html
Trendyolmilla Dress - Green - Bodycon,"₦ 5,710",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/6602721/1.jpg?4911,http://jumia.com.ng//trendyolmilla-dress-green-bodycon-127206686.html
Trendyolmilla Blouse - White - Asymmetrisch,"₦ 4,246",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/3202721/1.jpg?4794,http://jumia.com.ng//trendyolmilla-blouse-white-asymmetrisch-127202375.html
Danami Grace Fortified Hooded Short Dress/Gown- Black,"₦ 5,999",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/5803111/1.jpg?1363,http://jumia.com.ng//danami-grace-fortified-hooded-short-dressgown-black-111308557.html
2022 Women's Casual Socks Running Sneakers - Black,"₦ 4,900 - ₦ 5,499",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/629476/1.jpg?5803,http://jumia.com.ng//fashion-2022-womens-casual-socks-running-sneakers-black-67492646.html
"XIAOMI Note 10S, 6GB/128GB Memory, Android 11 - Gray","₦ 104,500",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/7091321/1.jpg?7491,http://jumia.com.ng//xiaomi-note-10s-6gb128gb-memory-android-11-gray-123190751.html
